categoryId,bodyS1
500,"Mike,

I just don’t think I’m going to be able to work with you after everything that has happened.  I feel that it is difficult to work with a man that I dated, even if just briefly, particularly if you feel that you don’t want to date me.  I need this job.  You know my situation.  I’m kindly asking you to reconsider working together.  Please talk to me about this when you can.  I may just have to talk to our supervisor. 

Thank you,

Tammy
"
500,"Dear Camille,

Please refrain from discussing details of your dating life with co-workers. I overheard you the other day, and whew, it was pretty hot.  A little much for this old man to hear!

Kevin"
500,"Hey Chuck,

Samantha and I were looking over your portfolio and I wanted to talk to you about some of your work.  Would you like to get together for a drink and talk about your interests...and mine!

Saludos,

Christine"
500,"Hi Fred,

You looked great the other day!  Your weight loss has really helped you.  Would you want to go get a drink and talk after work?  If that is not your thing, let me know, but I just thought I’d venture out and tell you how good you’re looking!  Girls are going crazy.  They’re talking about you all the time at the front desk.

Priscilla"
500,"Hey Barry,

I liked what you were saying yesterday about the new girl.  You’re right.  She is hot!  You should go over there and talk to her.  Be sure to wear your tight jeans.  I’m sure she’ll like what you’ve got to offer ;)

Jennifer"
501,"Dear Jim,

I was recently informed that you are considering Marco for the position of Maintenance Supervisor.  I am concerned that Marco may have a language barrier that will contribute to difficulty in communicating needs to employees.  Marco is from Mexico.  While his English is pretty good, I think he may have trouble expressing instructions to employees who don’t speak Spanish.  Please let me know your thoughts.

Thanks,

Sue
"
501," Hi everyone,

After this round of interviews, I want to express my concern over Mohammed Ahman.  While he may be very qualified, my fear is that, because he is Muslim, other co-workers may feel uncomfortable.  The majority of the sales team is Christian and certainly not comfortable regarding the Muslim faith.

Can we get together tomorrow at some point to discuss my concerns?

Thanks,

Shannon
"
501,"James,

We have two internal candidates for the Operations Specialist position.  First, there’s Angel.  He’s highly qualified and has a great background.  Then, there’s Stephanie too.  She’s qualified too.  I know this isn’t PC to say, but I don’t know how good it would be to have a woman in this position.  Please don’t get me wrong.  She’s great to work with.  The crew all loves her, but I don’t think she’s assertive enough to be the Specialist.  So, that’s my feedback.  I thought it might help in making this decision.

Kind regards,

Dean
"
501,"Dear Joe,

I was looking through the applications for the analyst position.  I think it is safe to say that any of the guys from China need to be removed from the list of interviewees.  We know what happened with Zhou when we hired him.  It was the worst decision we ever made!  

Do you want to meet tomorrow to discuss?

Thanks,

John
"
501,"Susan,

Thank you for your application for the position of machinist.  At this point, we are reviewing your candidacy, particularly because you are an internal applicant; however, the position requires the ability to lift heavy objects and work with the machining crew (all men).  I just want to warn you that it’s not an easy environment to work in.  Also, I know you have children, and sometimes we have to work extra long hours to  get products out. I’m only telling you this so you know what you’re getting into.

Please let me know if you have any questions.

Thanks,

Steve
"
